id,tweet
52299,@JetBlue Can't thank your customer service team enough. always incredibly accommodating and kind! @SteveSosna4NY &amp; I can't wait for our trip
124681,#JetBlue ShoutOUT 2 @JetBlue Boston Crew hated to leave Florida. fun flight love coming home @MassState #tiredeyes http://t.co/ngn0RT08Xr
139200,thank you @JetBlue for an amazing experience. flight almost an hr delayed yet still an amazing flight with great staff #backhome #floridahot
34653,can't wait until this video leaks (it's going to) so we can see what #thenewamerican is all about! @AmericanAir http://t.co/yb49GnhSN2
140624,@radiodrew @SouthwestAir Heading there after work today!!! Can't wait! And I forgot my drink coupons! #fail
109749,Can't wait to get the heck out of this horrible winter weather &amp; go relax in warm sunny #Florida w/ @Vincent_Farr! @JetBlue #getmeoutofhere
34975,@JetBlue thank you for not helping me I appreciate it not so much after traveling with you for many years #Disappointed #Rude
58595,Thank you @JetBlue for your support of the NYPD and flying officers to the service. Don't let the hate and ignorance of a few interfere.
81254,@SouthwestAir looking for deals buf to rsw. late March or early April any to be found?
128962,Mad props to @SouthwestAir ! Threw a little swag our way for the inconvenience of some unexpected delays to our travel. LUV Southwest!
91181,Awesome news! Been waiting to hear this for a while @JetBlue to Launch Service to Daytona Beach. Fla. http://t.co/EcWpTd32Pi
1165,@TheBeerWench: Heading back to SFO via @VirginAmerica. Is 6:45am too early for a beer? Cc: @21stAmendment It's never to early for beer!
116420,@SouthwestAir Hi Southwest! I'm a broke college student who's flying to the East Coast soon. Any student discounts or deals?! Plz help!!
97404,Can't wait to start flying @AmericanAir had enough of #unfriendlyskies with @united. Waiting for status match.
97405,Can't wait to start flying @AmericanAir had enough of #unfriendlyskies with @united. Waiting for status match.
13440,@SamCov94 @AmericanAir cannot be an aircraft issue as it would have landed at Birmingham.. Probably some drunk or something
93196,Huge props to@JetBlue pilot on DIA-BOS redeye. Brutal post blizzard turbulence in Boston but seamless landing. Back home safe and sound
164261,Team VA is en route! 1st beer of the trip as we wait for our delayed @united flight. #ATWN2015 @polivero @Hates3Putts http://t.co/5ViSG7HKOI
34228,Awaiting flt @AmericanAir lounge/looked into my iced coffee &amp; saw... #KimKardashian #BreakTheInternet #travel http://t.co/7timDIrfX2
126990,Boy do I love @jetblue T5. Hop skip n a jump back to Boston. Sad this Getaway is over. http://t.co/9RDmllLC1x
148776,Thank god I'm flying @JetBlue on the way back from the bachelor party that I'm missing a day of due to @united  #unitedsucks
90018,Can't wait to fly on one! MT @AmericanAir: The interior of our @BoeingAirplanes 787 #Dreamliner is finally revealed http://t.co/iskS0hbzNQ
53777,Thank you Harvey at @VirginAmerica LAX. Flight's delayed but you saved the day. Would have missed the holiday party without you.
77784,@JetBlue looking at your twitter feed I've missed the sale. and also all the fares to NYC have increased.
148420,Flew @united last week SFO-Kona-SFO.  Sad but true. 20yr old 757 was more comfortable than brand new 737-900 (thin seats and no IFE)
23949,@Ruthless_Sports @united Missed a day in Maui on our honeymoon when we could have taken a later direct flight instead and been there earlier
151399,Headed home. On the new @JetBlue Mint flight. Feel like I'm cheating on @AmericanAir but let's see... #BallUpCEOwork http://t.co/TxSCK7qiUt
121281,Missed our blog on Mon.? See what we've been obsessing over. like @SouthwestAir's new routes out of @DallasLoveField: http://t.co/oXK8HTKIMb
5206,Love being stuck in @HeathrowAirport on a Friday getting back to #NYC thank you @VirginAmerica appreciate it a terrible start to the weekend
77541,Missed the @JetBlue #BreakTheIce $32 sale? Our members didn't! For a limited time. get a free month of http://t.co/vSX7dptNXr Airfare deals
51936,Life's too short to wait for snow. Shred the west w/ RIDE using @AlaskaAir's new airfare deal! http://t.co/8S6uEnjWMU http://t.co/PJ6aAn0ZbF
69008,I can't wait to live in Seattle one day solely for @AlaskaAir deals. At least I'm saving money...but like. I wanna go to Hawaii. And Denver.
54567,Thank god I flew @VirginAmerica and didn't miss the end of that game. #BoltUp
44303,@jhoITC while you're waiting. watch this video where @MatthewLush shares how he was mistreated by @JetBlue  https://t.co/KDqHfnK6j9
77370,@JetBlue thanks for closing my flight way too early so i miss it and have to wait around for the next one
85040,@united can't wait for when you go bankrupt in a couple years :)
48718,.@AmericanAir's 787 will be delivered a wee bit late (several months). It will fly between hubs in early 2015. http://t.co/rsvRDwpsYx
89092,El horror de volar con @AmericanAir . la tiran_a de las agencias de viajes y el por qu de no ir a #Bolivia http://t.co/f4sxvzCeY6
94182,Wait wait wait...is the little boy in the @VirginAmerica saftey video the youngest kid on Black-ish!?!?!
101957,@SouthwestAir while that may hold true for the east coast. that's a poor excuse for flights on the west coast. #unreliable.
88098,This view never gets old. Quick trip back home to #Seattle. Snapped this shot earlier aboard my @AlaskaAir flight. http://t.co/IOdET3BZP3
146378,Sorry @JetBlue Boston for taking out the stress of traveling with kids on the nice lady who asked for our boarding pass
81349,@JetBlue thx for getting my daughter home safe before the storm. Switched flights w ease on Monday.
80984,.@SouthwestAir's magazine did a huge feature on the problems of overpraising kids: http://t.co/bAmyPS9s0l
144299,"Thank god for @VirginAmerica's in-flight safety (music) video - something. anything to have stuck in my head besides ""Too Many Cooks""."
8049,Thank you @AlaskaAir 4 getting us out of #Cabo post #Odile but you #failed soon as we took off #inappropriate #disappointing #poorservice
22230,@AmericanAir first 787 is now heading to the paint shop - can't wait to see her in full make up! http://t.co/qQgc4Xh1UD
89464,Big props to @JetBlue for getting us into Boston from New Orleans today in this mess.
14550,@JetBlue Kudos to you! In world of horrid travel. you make it a pleasure! Spacious seats (even in back!). efficient boarding &amp; free snacks!
579,@VirginAmerica Love Love VA. Was one of your first fliers and have never left.  you only get better aahh great ride
47334,@SouthwestAir Heading out to Vegas from NYC in Jan. We have 2 $100 vouchers from a BAD exp this year. Disappointed to see such high rates...
